[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765441026.01351,04/26/2019,12:49 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Sp11Cu,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.29,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765441055.23659,299.876098632812,399.644134521484,0.000608512200277114,7.14140500411623E-8,1,2,13.9012460708618,4.9984942451517,4.91000013425946,0.730164766186024,0.108926105348669,10,-2.58305886644431E-6,,,,,,,,,,,,,,,,,,,,,299.876098632812,299.876098632812,399.644134521484,399.644134521484,52.7376486352844,5.67499974857391,31.3964233398438,28,1,0,0,1,0.309371948242188,31.2805480957031,1,1,1,299.876098632812,0,299.876098632812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441068.07877,299.876312255859,390.1484375,0.000608301150791358,9.30388234957479E-8,1,2,13.9012460708618,4.99853320433524,4.91000013425946,0.729730430659296,0.110121377134793,1,-1.55489052052319E-6,,,,,,,,,,,,,,,,,,,,,299.875885009766,299.876739501953,390.1484375,390.1484375,52.6747275394863,5.67485066760811,31.4088592529297,28,1,0,0,1,0.308303833007812,31.2805480957031,1,1,1,299.875885009766,0,299.876312255859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441079.21738,299.897384643555,380.252075195313,0.000608430545697872,5.40635027089939E-8,1,2,13.9012460708618,4.99860001775219,4.91000013425946,0.729886667662794,0.110229908481182,1,-1.48598144406677E-6,,,,,,,,,,,,,,,,,,,,,299.894622802734,299.900146484375,380.252075195313,380.252075195313,52.659876597621,5.67454284712125,31.4337348937988,28,1,0,0,1,0.30792236328125,31.7693061828613,1,1,1,299.900146484375,0,299.897384643555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441089.29044,299.914855957031,370.124969482422,0.000608473119285663,4.97691800162123E-8,1,2,13.9012460708618,4.99850038126894,4.91000013425946,0.729934853544144,0.11011966308167,1,-1.58187044410585E-6,,,,,,,,,,,,,,,,,,,,,299.91259765625,299.917114257812,370.124969482422,370.124969482422,52.6305655281498,5.67493371247582,31.4710464477539,28,1,0,0,1,0.307846069335937,31.7693061828613,1,1,1,299.917114257812,0,299.914855957031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441100.3575,299.974761962891,360.179992675781,0.000608623553706652,4.96988611941236E-8,1,2,13.9012460708618,4.99852663215076,4.91000013425946,0.730132368989701,0.110071858785193,1,-1.64551088375854E-6,,,,,,,,,,,,,,,,,,,,,299.964935302734,299.984588623047,360.179992675781,360.179992675781,52.7255333932363,5.67475585235502,31.4959182739258,28,1,0,0,1,0.31005859375,31.7693061828613,1,1,1,299.984588623047,0,299.974761962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441109.73996,300.076873779297,350.247192382812,0.000608636146205602,7.59168349892918E-8,1,2,13.9012460708618,4.99847111605001,4.91000013425946,0.730136506891309,0.110069361483864,1,-1.64808887045478E-6,,,,,,,,,,,,,,,,,,,,,300.064025878906,300.089721679687,350.247192382812,350.247192382812,52.6696469541113,5.67443219171797,31.5456695556641,28,1,0,0,1,0.31005859375,31.7693061828613,1,1,1,300.089721679687,0,300.076873779297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441119.99868,300.149993896484,340.107940673828,0.000608651517576396,4.88135005982759E-8,1,2,13.9012460708618,4.99842132551377,4.91000013425946,0.730152024050544,0.110022816969596,1,-1.68797497432284E-6,,,,,,,,,,,,,,,,,,,,,300.148986816406,300.151000976562,340.107940673828,340.107940673828,52.7403843351017,5.67487957677342,31.55810546875,28,1,0,0,1,0.308761596679687,31.7693061828613,1,1,1,300.148986816406,0,300.149993896484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441130.42578,300.145431518555,330.114410400391,0.000608815106440769,7.49153685801865E-8,1,2,13.9012460708618,4.99843318232705,4.91000013425946,0.730349314139846,0.110061863659235,1,-1.68083357264414E-6,,,,,,,,,,,,,,,,,,,,,300.143432617188,300.147430419922,330.114410400391,330.114410400391,52.6360369277844,5.67464430005272,31.5954170227051,28,1,0,0,1,0.308990478515625,31.7693061828613,1,1,1,300.143432617188,0,300.145431518555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441140.34654,300.127944946289,320.120880126953,0.000608843326881878,6.46751116288486E-8,1,2,13.9012460708618,4.99838535180429,4.91000013425946,0.730368964512728,0.110093791006301,1,-1.65730119296642E-6,,,,,,,,,,,,,,,,,,,,,300.127471923828,300.12841796875,320.120880126953,320.120880126953,52.6270481998133,5.6751519391488,31.6327285766602,28,1,0,0,1,0.309219360351562,32.2580642700195,1,1,1,300.127471923828,0,300.127944946289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441151.05166,300.116149902344,310.127349853516,0.000608900527657539,4.53038786547858E-8,1,2,13.9012460708618,4.99839356867611,4.91000013425946,0.730421839931388,0.110217964046332,1,-1.56274067422781E-6,,,,,,,,,,,,,,,,,,,,,300.115112304687,300.1171875,310.127349853516,310.127349853516,52.5996912016402,5.67499427272563,31.7073516845703,28,1,0,0,1,0.308074951171875,32.2580642700195,1,1,1,300.115112304687,0,300.116149902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
